name,assignment,length,begin,end,species,species-score,type,type support,major lineage,major lineage support,minor lineage,minor lineage support,minor lineage,minor lineage support
hDenV1BrazilSP-IAL-437782020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-438942020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-439332020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-442602020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-460122021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-460532021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-460912021|E,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-462512021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-463402021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-464852021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-467092021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-470132021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-470792021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-471362021|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP012021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP022021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP032021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP042021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP052021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP062021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP072021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP082021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP092021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP102021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP112021|EP,1V_F,10421,27,10447,dengue virus type 1,,V,100,F,100,,,,
hDenV1BrazilSP-IAL-RP122021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-RP132021|EP,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-RP142021|EP,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS106822022,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS108052022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS108102022,1V_E,10247,27,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS108512022,1V_E,10247,27,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS108622022,1V_E,10337,27,10363,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109082022,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS109282022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109492022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109572022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109732022,1V_E,10247,27,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109762022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109772022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109792022,1V_E,10248,95,10342,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109912022,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS109982022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS110052022,1V_E,10337,27,10363,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS110472022,1V_A,10353,95,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS110942022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS111312022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS111512022,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS111742022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS112022022,1V_E,10217,95,10311,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS112102022,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS112372022,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS112382022,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-484582022|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-485222022|E,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-485262022|E,1V_E,10179,95,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-486292022|E,1V_D.1,10353,95,10447,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL-486332022|E,1V_E,10353,95,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-486782022|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-486802022|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-486992022|E,1V_E,10441,4,10444,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-487422022|E,1V_A,10529,9,10537,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-489042022|E,1V_E,10356,92,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS11649R202,1V_E,10354,15,10368,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS11651R202,1V_E,10368,15,10382,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS11658R202,1V_E,10354,15,10368,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS11668R202,1V_E,10331,15,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-1559961990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1577541990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1591811990|E,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1649361990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1649651990|,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1675421990|,1V,240,2309,2548,dengue virus type 1,,V,97,Could not assign,,,,,
hDenV1BrazilSP-SPH1679111990|E,1V,240,2309,2548,dengue virus type 1,,V,98,Could not assign,,,,,
hDenV1BrazilSP-SPH1824911990|E,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1837781990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1837881990|,1V,240,2309,2548,dengue virus type 1,,V,95,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1897171990|,1V,240,2309,2548,dengue virus type 1,,V,97,Could not assign,,,,,
hDenV1BrazilSP-SPH1897201990|E,1V,240,2309,2548,dengue virus type 1,,V,97,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1900431990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1677351990|,1V,240,2309,2548,dengue virus type 1,,V,97,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1677791990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1679271990|,1V,240,2309,2548,dengue virus type 1,,V,97,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1680081990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1733731990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1733751990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1842321990|E,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1842381990|,1V,240,2309,2548,dengue virus type 1,,V,89,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1842401990|,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1967071990|,1V,240,2309,2548,dengue virus type 1,,V,97,Could not assign,,,,,
hDenV1BrazilSP-IAL-1731211990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1737761990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1883091990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1904771990|E,1V,240,2309,2548,dengue virus type 1,,V,98,Could not assign,,,,,
hDenV1BrazilSP-SPH1910911990|E,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1945731990|E,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1945761990|,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1945791990|E,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1945831990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1945861990|,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1964201990|,dengue virus type 1,240,2309,2548,dengue virus type 1,,Related to but not part of V,,,,,,,
hDenV1BrazilSP-IAL-1964881990|,1V,240,2309,2548,dengue virus type 1,,V,88,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1964901990|,1V,240,2309,2548,dengue virus type 1,,V,95,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1964911990|,dengue virus type 1,240,2309,2548,dengue virus type 1,,Related to but not part of V,,,,,,,
hDenV1BrazilSP-IAL-1964921990|,dengue virus type 1,240,2309,2548,dengue virus type 1,,Related to but not part of V,,,,,,,
hDenV1BrazilSP-IAL-1987711990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1989711990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1989781990|,1V,240,2309,2548,dengue virus type 1,,V,97,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH1989791990|E,1V,240,2309,2548,dengue virus type 1,,V,100,Related to but not part of A,,,,,
hDenV1BrazilSP-IAL-1999411990|,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1999481990|,1V,240,2309,2548,dengue virus type 1,,V,99,Related to but not part of C,,,,,
hDenV1BrazilSP-SPH2022411990|E,1V_A,240,2309,2548,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-SPH1972181990|E,1V,240,2309,2548,dengue virus type 1,,V,99,Could not assign,,,,,
hDenV1BrazilSP-SPH1972211990|E,1V,240,2309,2548,dengue virus type 1,,V,98,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1972221990|,1V,240,2309,2548,dengue virus type 1,,V,97,Could not assign,,,,,
hDenV1BrazilSP-IAL-1972231990|,1V,240,2309,2548,dengue virus type 1,,V,95,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL-1973531990|,1V,240,2309,2548,dengue virus type 1,,V,97,Could not assign,,,,,
hDenV1BrazilSP-SPH1973571990|E,1V,240,2309,2548,dengue virus type 1,,V,100,Could not assign,,,,,
hDenV1BrazilSP-IAL-2030301990|,1V,240,2309,2548,dengue virus type 1,,V,97,Related to but not part of C,,,,,
hDenV1BrazilSP-IAL_8112023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8122023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8132023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8142023|EPI,1V_D.1,10354,16,10369,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL_8152023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8162023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8172023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8182023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8212023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL_8222023|EPI,1V_E,10354,16,10369,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35714883020,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35715371320,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35714853820,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35715051320,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35715370320,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35715178320,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35716043220,1V_D.1,10322,24,10345,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL-35716063520,1V_D.1,10322,24,10345,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL-35715314820,1V_E,10322,24,10345,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200157202,1V_E,10036,139,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200158202,1V_E,9608,142,9749,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200160202,1V_E,9893,142,10034,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200171202,1V_E,9862,142,10002,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200173202,1V_E,9944,141,10000,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200181202,1V_E,10078,162,10238,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200186202,1V_E,10113,156,10268,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2200210202,1V_F,10408,139,10546,dengue virus type 1,,V,100,F,100,,,,
hDenV1BrazilSP-CEVD_2300993202,1V_E,10016,148,10163,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300994202,1V_D.1,10006,158,10163,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2300995202,1V_E,10005,163,10167,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301071202,1V_E,10030,145,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301244202,1V_E,10048,134,10181,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301249202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301250202,1V_E,10135,140,10274,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301251202,1V_E,10175,142,10316,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2301252202,1V_E,10133,142,10274,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300661202,1V_E,10034,142,10175,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300662202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300663202,1V_E,10161,142,10302,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300664202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300665202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300666202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300667202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300668202,1V_E,10093,142,10234,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300669202,1V_D.1,10135,140,10274,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2300670202,1V_E,10135,140,10274,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300671202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300672202,1V_D.1,10033,142,10174,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2300673202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300674202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300675202,1V_E,10164,140,10303,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300676202,1V_D.1,10133,142,10274,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2300677202,1V_E,10162,142,10303,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300678202,1V_E,10178,139,10316,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300679202,1V_E,10133,142,10274,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300680202,1V_E,10033,142,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2300681202,1V_D.1,10133,142,10274,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2300682202,1V_E,10135,140,10274,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35738972420,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35740258120,1V_D.1,10323,22,10344,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL-35740525320,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741056120,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741049820,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741291320,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741392920,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35740737220,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741791720,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35741892220,1V_E,10323,22,10344,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-LACENMG-3113868,1V_E,10140,134,10273,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-35763555720,1V_E,10367,1,10367,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2400005202,1V_D.1,10019,142,10160,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400013202,1V_D.1,10133,142,10274,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400004202,1V_D.1,10040,142,10181,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400001202,1V_D.1,10017,142,10158,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400250202,1V_D.1,10035,147,10181,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400249202,1V_D.1,10035,147,10181,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400269202,1V_D.1,10038,144,10181,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-CEVD_2400299202,1V_E,10027,148,10174,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2400007202,1V_E,10040,142,10181,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2400264202,1V_E,10037,145,10181,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2400270202,1V_E,10036,146,10181,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-CEVD_2400213202,1V_E,10052,134,10185,dengue virus type 1,,V,100,E,100,,,,
